Singlet Fission Rate: Optimized Packing of a Molecular Pair. Ethylene as a Model.,"A procedure is described for unbiased identification of all pi-electron chromophore pair geometry choices that locally maximize the rate of conversion of a singlet exciton into singlet biexciton (triplet pair), using a simplified version of the diabatic frontier orbital model of singlet fission (SF). The resulting approximate optimal geometries provide insight and are expected to represent useful starting points for searches by more advanced methods. The general procedure is illustrated on a pair of ethylenes as the simplest model of a pi-electron system, but it is applicable to pairs of much larger molecules, with dozens of non-hydrogen atoms, and not necessarily planar. We first examine the value of |T(A)|(2), the square of the electronic matrix element for SF with initial excitation fully localized on partner A, on a grid of several billion geometries within the six-dimensional space of physically realizable possibilities. The optimized pair geometries are found to follow the qualitative guidance proposed earlier. In the neighborhood of each local maximum of |T(A)|(2), consideration of mixing with charge-transfer configurations and of excitonic interaction between partners A and B determines the SF energy balance and yields squared matrix elements |T*|(2) and |T**|(2) for the lower and upper excitonic states S* and S**, respectively. Assuming Boltzmann populations of these states, the geometry is further optimized to maximize k, the sum of the SF rates obtained from Marcus theory, and this reorders the suitable geometries substantially. At 87 pair geometries, the |T*|(2) and |T**|(2) values are compared with those obtained from high-level ab initio non-orthogonal configuration interaction calculations and found to follow the same trend. Finally, the biexciton binding energy at the optimized geometries is calculated. Altogether 13 significant local maxima of SF rate for a pair of ethylenes are identified in the physically relevant part of space that avoids molecular interpenetration in the hard spheres approximation. The three best geometries are twist-stacked, slip-stacked, and L-shaped. The maxima occur at the (5-dimensional) surfaces of seven 6-dimensional ""parent"" regions of space centered at physically inaccessible geometries at which the calculated SF rate is very large but the two ethylenes interpenetrate. The results are displayed in interactive graphics. The computer code (""Simple"") written for these calculations is flexible in that it permits a choice of performing the search for local maxima in six dimensions on |T(A)|(2), |T*|(2), or k. It is available as freeware at https://cloud.uochb.cas.cz/simple.",2
Breaking Symmetry: Engineering Single-Chain Dimeric Streptavidin as Host for Artificial Metalloenzymes.,"The biotin-streptavidin technology has been extensively exploited to engineer artificial metalloenzymes (ArMs) that catalyze a dozen different reactions. Despite its versatility, the homotetrameric nature of streptavidin (Sav) and the non-cooperative binding of biotinylated cofactors, impose two limitations on the genetic optimization of ArMs: i) point mutations are reflected in all four subunits of Sav and ii) the non-cooperative binding of biotinylated cofactors to Sav may lead to an erosion in the catalytic performance, depending on the cofactor: biotin-binding site ratio. To address these challenges, we report on our efforts to engineer a (monovalent) single-chain dimeric streptavidin (scdSav) as scaffold for Sav-based ArMs. The versatility of scdSav as host protein is highlighted for the asymmetric transfer hydrogenation of prochiral imines using [Cp*Ir(biot-p-L)Cl] as cofactor. By capitalizing on a more precise genetic fine-tuning of the biotin-binding vestibule, unrivaled levels of activity and selectivity were achieved for the reduction of challenging prochiral imines. Comparison of the saturation kinetic data and X-ray structures of [Cp*Ir(biot-p-L)Cl] . scdSav with a structurally related [Cp*Ir(biot-p-L)Cl] . monovalent scdSav, highlights the advantages of the presence of a single biotinylated cofactor precisely localized within the biotin-binding vestibule of the monovalent scdSav. The practicality of ScdSav-based ArMs was illustrated for the reduction of the salsolidine precursor (500 mM) to afford (R)-salsolidine in 90% ee and > 17'000 TONs. Monovalent scdSav thus provides a versatile scaffold to evolve more efficient ArMs for in vivo catalysis and large-scale applications.",2
One-Pot Self-Assembly of Stellated Metallo-Supramolecules from Multivalent and Complementary Terpyridine-Based Ligands.,"A series of stellated metallo-supramolecular architectures has been assembled through three-component integrative self-sorting. Building on the complementary ligand pairing, the initial attempts to synthesize the hexagram complex from a combination of X-shaped tetrakis- and V-shaped bis-terpyridine ligands, and Cd(II) ions, resulted in an unprecedented mixture of stellated octanuclear and dodecanuclear metallocages, which were further isolated by column chromatography. To overcome the unexpected obstacle, the multivalent ligand design along with spontaneous heteroleptic complexation was applied to realization of the one-pot synthesis of the intricate topology. A centrally situated triangle served as a prop for quantitative formation of the six-pointed stellated complex. Notably, in the absence of the triangular prop, a four-pointed star was produced.",2
Cooperative Silver Ion-Pair Recognition by Peralkylated Pillar[5]arenes.,"Ion-pair recognition of metal salts by pillararenes has never been reported. This limits the further development and applications of pillararene supramolecular chemistry. Herein we report the first examples of pillararene-based metal ion-pair recognition. They are host-guest complexes between three peralkylated pillar[5]arenes and the silver salt CF3COOAg. Single crystal X-ray analysis shows that CF3COOAg forms a unique dinuclear silver structure that penetrates into the pillar[5]arene cavity in these complexes. Besides the silver-pi interactions, multiple C-H...O and C-H...F hydrogen bonds between the counterion and the pillar[5]arene host also contribute to stabilizing and maintaining the host-guest structures. Moreover, benefitting from the silver ion-pair recognition, perethylated pillar[5]arene EtP5 can be used as a solid absorbent to capture CF3COOAg from solution efficiently, showing a potential application in precious metal extraction and recycling.",2
"Assembling Pentatopic Terpyridine Ligand with Three Types of Coordination Moieties into Giant Supramolecular Hexagonal Prism: Synthesis, Self-Assembly, Characterization, and Antimicrobial Study.","Three dimensional (3D) supramolecules with giant cavities are attractive due to their wide range of applications. Herein, we used pentatopic terpyridine ligands with three types of coordination moieties to assemble two giant supramolecular hexagonal prisms with molecular weight up to 42,608 and 43,569 Da, respectively. Within the prisms, two double-rimmed Kandinsky Circles serve as the base surfaces as well as the templates for assisting the precise self-sorting during the self-assembly. Additionally, hierarchical self-assembly of these supramolecular prisms into tubular-like nanostructures has been discovered and fully studied by scanning tunneling microscopy (STM) and small angle X-ray scattering (SAXS). Finally, these supramolecular prisms show good antimicrobial activities against Gram-positive pathogen methicillin-resistant Staphylococcus aureus (MRSA) and Bacillus subtilus (B. subtilus).",2
Nanopore-Based Single-Biomolecule Interfaces: From Infor-mation to Knowledge.,"Single-molecule measurements have greatly enhanced our understanding of living systems. The biological systems offer nanopores, a sub-class of membrane proteins, the well-defined confined space for accommodating a single molecule. The biological nanopore acts as a single-biomolecule interface for capturing and identifying a single molecule of interest, which can be used as a single-molecule sensor. From this perspective, we focus on biological nanopore-based single-biomolecule interfaces for single-biomolecule detection. First, we outline the design of the nanopore-based single biomolecule interface, which provides rich stochastic information regarding each biomolecule. Then, we highlight future research directions be-yond DNA sequencing, including detection of rare species, identification of hidden intermediates, spectral analysis of cova-lent/noncovalent interactions, and tracing of the dynamic pathways of single-biopolymer behaviors. The concept of ""sin-gle-molecule ionic spectrum"" is discussed, which may allow mapping of noncovalent interactions at an atomic level in the future. We also discuss the challenges and future goals to make this measurement possible for addressing entirely new types of biological questions, which would be an exciting area of future research.",2
Reversibly Structural Transformation between a Molecular Solomon Link and an Unusual Unsymmetrical Trefoil Knot.,"A template-free Cp*Ir-based molecular Solomon link and an unusual trefoil knot induced by stacking interactions were realized via selection of the nonrigid dipyridyl ligand 4,4'-bis(pyridin-4-ylmethyl)-1,1'-biphenyl (BpmBp). In addition, a novel heterobi-metallic tetranuclear (IrIII2+AgI2) complex featuring argentophilic interaction was synthesized in high yield. Remarkably, the reversible topological transformation between the Solomon link and an unusual trefoil knot can be achieved by utilizing the chemical reactivity of silver(I) ions under mild conditions, as demonstrated by a detailed X-ray crystallographic study.",2
Controlling the Circadian Clock with High Temporal Resolution through Photodosing.,"Circadian clocks, biological timekeepers that are present in almost every cell of our body, are complex systems whose disruption is connected to various diseases. Controlling cellular clock function with high temporal resolution in an inducible manner would yield an innovative approach for the circadian rhythm regulation. In the present study, we present structure-guided incorporation of photoremovable protecting groups into a circadian clock modifier, longdaysin, which inhibits casein kinase I (CKI). Using photo-deprotection by UV or visible light (400 nm) as the external stimulus, we have achieved quantitative and light-inducible control over the CKI activity accompanied by an accurate regulation of circadian period in cultured human cells and mouse tissues, as well as in living zebrafish. This research paves the way for the application of photodosing in achieving precise temporal control over the biological timing and opens the door for chronophotopharmacology to deeper understand the circadian clock system.",2
Cu Atoms on Nanowire Pd/HyWO3-x Bronzes Enhance the Solar Reverse Water Gas Shift Reaction.,"Nanowire hydrogen bronzes of WO3 nanowires decorated with Pd (Pd/HyWO3-x) were previously demonstrated to effectively capture broadband radiation across the ultraviolet to near infrared wavelength range and catalyze the reverse water gas shift reaction (RWGS). Here-in, we report a synthetic strategy to enhance the performance of this class of photocatalysts by conformally coating Cu atoms onto the surface of Pd/HyWO3-x by anchoring Cu(I)OtBu to the Bronsted acidic protons of the bronze. The resulting materials are characterized by a suite of analytical methods, including electron microscopy and X-ray absorption spectroscopy. In addition, in situ diffuse reflectance infra-red Fourier transform spectroscopy (DRIFTS) demonstrated that for the light-driven RWGS reaction, as little as 0.2 at.% Cu facilitates the formation of surface carboxylate species from CO2, resulting in a 300-500% enhancement in the rate of CO production. This metal anchoring method enables atom precise modification of the surfaces of metal oxide nanomaterials for catalytic applications, circumventing the need for complex and expensive atomic layer deposition processes.",2
Photoinduced Electron Transfer in a Radical SAM Enzyme Generates an S-Adenosylmethionine Derived Methyl Radical.,"Radical SAM (RS) enzymes use S-adenosyl-L-methionine (SAM) and a [4Fe-4S] cluster to initiate a broad spectrum of radical transformations throughout all kingdoms of life. We report here that low-temperature photo-induced electron transfer from the [4Fe-4S](1+) cluster to bound SAM in the active site of the hydrogenase maturase RS enzyme, HydG, results in specific homolytic cleavage of the S-CH3 bond of SAM, rather than the S-C5' bond as in the enzyme-catalyzed (thermal) HydG reaction. This result is in stark contrast to a recent report in which photoinduced ET in the RS enzyme pyruvate formate-lyase activating enzyme cleaved the S-C5' bond to generate a 5'-deoxyadenosyl radical, and provides the first direct evidence for homolytic S-CH3 bond cleavage in a RS enzyme. Photo-induced ET in HydG generates a trapped *CH3 radical, as well as a small population of an organometallic species with an Fe-CH3 bond, denoted OmegaM. The *CH3 radical is surprisingly found to exhibit rotational diffusion in the HydG active site at temperatures as low as 40 K, and is rapidly quenched: whereas 5'-dAdo* is stable indefinitely at 77 K, *CH3 quenches with a half-time of ~ 2 min at this temperature. The rapid quenching and rotational/translational freedom of *CH3 shows that enzymes would be unable to harness this radical as a regio- and stereo-specific H-atom abstractor during catalysis, in contrast to the exquisite control achieved with the enzymatically-generated 5'-dAdo*.",2
