Tony Rothman, Tony Rothman (born 1953) is an American theoretical physicist academic and writer.,5
Metro Christian Academy, Metro Christian Academy is a private Baptist-affiliated K-12 school in Madison Tennessee.Metro Christian was founded in 1981 by Pastor Randy Ray. It began with only 3 kindergarten kids and was accredited by the Tennessee Association of Christian Schools and the Tennessee State Department of Education. The senior class of Metro Christian Academy has the privilege to take a missions trip every year.,5
Ornipholidotos annae, Ornipholidotos annae is a butterfly in the Lycaenidae family. It is found in Cameroon Equatorial Guinea the Republic of Congo Gabon and the Democratic Republic of Congo. The habitat consists of forests.,5
Frances Townsend, Frances M. Fragos Townsend (born December 28 1961) is the former Homeland Security Advisor to United States President George W. Bush and TV personality. Townsend was appointed to this position by President Bush on May 28 2004. Her resignation was announced November 19 2007. She chaired the Homeland Security Council and reported to the President on homeland security policy and counterterrorism policy.,5
Poilvache Castle, Poilvache Castle (French: Château de Poilvache) is a ruined medieval castle in the municipality of Yvoir in the province of Namur Wallonia overlooking the village of Houx from a clifftop over the Meuse.,5
Javanese Court Gamelan, Note: the first cover is of the first CD issue of the album released during the 1990s.Javanese Court Gamelan is a recording of the gamelan of the Paku Alaman court in Yogyakarta Java Indonesia. It was recorded by ethnomusicologist Robert E. Brown. It was issued on compact disc on April 17 1991 with the original contents.,5
Brian Charlton, Brian Albert Charlton (born May 22 1947) is a former politician in Ontario Canada. He was a New Democratic Party member of the Legislative Assembly of Ontario from 1977 to 1995 and was a cabinet minister in the government of Bob Rae. He serves on the board of directors of a sustainable living non-profit called Green Venture.,5
Thorgan Hazard, Thorgan Ganael Francis Hazard (born 29 March 1993) is a Belgian footballer who plays for Zulte Waregem on loan from Chelsea. He is the younger brother of Eden Hazard and like his brother can play as an attacking midfielder or winger. Hazard is a Belgian youth international and has represented his nation at under-16 under-17 under-18 under-19 and under 21 level. In May 2013 he was handed his first senior international cap against the United States.,5
Wolfreton School, Wolfreton School is a large state secondary school in the East Riding of Yorkshire England. It is situated 5 miles (8 km) to the west of Kingston upon Hull city centre. It is split over two sites one in Willerby (53.759025°N 0.440830°W﻿ / 53.759025; -0.440830﻿ (Wolfreton School Willerby site)) and one in Kirk Ella (53.747730°N 0.445480°W﻿ / 53.747730; -0.445480﻿ (Wolfreton School Kirk Ella site)).,5
Franklin School (Washington D.C.), The Franklin School is a building designed by Adolf Cluss located on Franklin Square at 13th and K Street in Washington DC.,5
Nestor Combin, Néstor Combin (born December 29 1940 in Las Rosas Argentina) is an Argentine former football player who spent most of his professional career in France. He was striker mainly with Olympique Lyonnais and France national team.In a game between A.C. Milan and Argentine side Estudiantes for the 1969 Intercontinental Cup Combin's nose was broken by a rival elbow. When leaving the stadium he was arrested charged with desertion. With international pressure rising he was released.,5
Nathan Brown (American football), Nathan Brown (born August 19 1986 in Hattiesburg Mississippi) was raised in Russellville AR. He is an American football quarterback who is currently a free agent. He attended Russellville High School in Russellville Arkansas. Where he was All-State his senior season playing for Coach Jeff Holt and the Russellville Cyclones.,5
Connelly Range, The Connelly Range is a subrange of the Hogem Ranges of the Omineca Mountains located between Bear Lake and the headwaters of the Omineca River in northern British Columbia Canada. As the Omineca is in the Arctic Ocean drainage and Bear Lake that of the Pacific the range is part of the Cnotinental Divide.,5
Buick Skylark, The Buick Skylark is a passenger car produced by the Buick division of General Motors. The model was made in six production runs over which the car's design varied dramatically due to changing technology tastes and new standards implemented over the years.,5
Bob Young (American football), Robert Allen Young (September 3 1942 – June 17 1995) was an American football offensive guard who played 16 seasons in the National Football League mainly for the St. Louis Cardinals where he and other Cardinal offensive linemen are credited with introducing modern weightlifting/powerlifting into the training regime of the NFL. He was named to two Pro Bowls (1978 & 1979) and was a first team All Pro selection in 1979 as well. Young attended Howard Payne University.,5
Beams (album), Beams is the debut album by Australian electronic dance music duo The Presets released on 12 September 2005.,5
Proagonistes mystaceus, Proagonistes mystaceus is a species of fly in the family Asilidae.,5
Sincik Polatlı, Sincik Polatlı is a village in the District of Polatlı Ankara Province Turkey.,5
Gi=Go, GI=Go is the second album of the trio The Bootstrappers.,5
Maynard Buehler House, The Maynard Buehler House in Orinda California is a 4000 square feet (370 m2) Usonian home designed by Frank Lloyd Wright in 1948 for Katherine Z. and Maynard P. Buehler.,5
Pig Iron – The Album, Pig Iron – The Album is a compilation album by English punk rock band Anti-Nowhere League. It consists of a newly remastered copy of their Scum album along with their Pig Iron EP and three new tracks.The song Gypsys Tramps & Thieves was originally recorded by Cher.,5
National Institute of Technology Hamirpur, The National Institute of Technology Hamirpur (commonly referred to as NIT Hamirpur) is a public engineering college located in Hamirpur Himachal Pradesh India. It is one of the thirty National Institutes of Technology established administered and funded by Government of India. It conducts undergraduate and postgraduate programmes in Engineering and Architecture and Doctor of Philosophy programme in Engineering Pure Science and Humanities.,5
Marlon Antonio Fernández, Marlon Fernández (born 16 January 1986 in San Cristóbal) is a Venezuelan footballer who currently plays as a midfielder for Deportes Antofagasta. In 2009 he was capped two times for the Venezuelan national team.,5
Chettinad Group, The Chettinad Group is an Indian industrial conglomerate headquartered in Chennai. The united Annaamalai Chettiar Group (later split as Chettinad Group and MA Chidambaram's Southern Group) is founded by famous Tamil Nagarathar businessman Raja Sir Annamalai Chettiar.,5
Mattawan High School, Mattawan High School is the name of the high school that serves the village of Mattawan Michigan. The approximate total enrollment for Mattawan High School is 1200 students. Mattawan High School has a two-member counseling and support team a four-member administration staff a sixty-three-member teaching staff and thirty-member support staff.,5
Haider Aziz Safwi, Haider Aziz Safwi is an Indian politician and the present Minister for Correctional administration and the Minister for Inland Waterways in the Government of West Bengal. he served as director general of police(fire).he retired in 2005 He is also an MLA elected from the Uluberia Purba constituency in the West Bengal state assembly election 2011.,5
Old Fort Duquesne (novel), Old Fort Duquesne or Captain Jack the Scout is an historical novel by the American writer Charles McKnight (1826 - 1881) set in 1750s Pittsburgh Pennsylvania.The novel tells the story of Captain Jack a scout and Indian fighter who is the protagonist of this retelling of the events of Fort Duquesne during the French and Indian War.,5
St Mary's College Middlesbrough, St Mary's College was a voluntary aided Catholic college situated in Saltersgill Middlesbrough England. In 2011 St Mary's College along with two other Catholic schools closed. Its buildings staff and educational provision were merged with the other schools to form Trinity Catholic College Middlesbrough.,5
Santiago (1856 ship), The Santiago was a 455 ton barque launched in 1856. It was built by Henry Balfour of Methil Fife for the Liverpool shipping company Balfour Williamson. It sailed mainly between Liverpool and Chile but also to Australia. Its remnant hull which lies in a ships' graveyard in South Australia is considered to be 'the oldest intact iron hull sailing vessel in the world.',5
Konary Wołów County, Konary [kɔˈnarɨ] (German: Kunern or Cunern) is a village in the administrative district of Gmina Wińsko within Wołów County Lower Silesian Voivodeship in south-western Poland.,5
The Henry Cort Community College, The Henry Cort Community College formerly Fareham Park Senior School is a mixed sex comprehensive school in Fareham Hampshire.It is one of three comprehensive schools in Fareham and had around 850 students at the last count. It has a rich sporting tradition especially in field hockey and has adequate sports facilities including an astroturf pitch and a gym. The school is named after the iron pioneer Henry Cort.,5
