Magnetotransport properties of compensated semimetal HfB<sub>2</sub> with high-density light carriers.,"We present a detailed magnetotransport study on HfB&amp;lt;sub&amp;gt;2&amp;lt;/sub&amp;gt;, a possible topological nodal-line semimetal. HfB&amp;lt;sub&amp;gt;2&amp;lt;/sub&amp;gt; exhibits field-induced resistivity upturn and plateau behaviors at low temperature and high field, accompanying with rather large&amp;#13; magnetoresistance. The analysis of field dependence of Hall and longitudinal resistivity shows that there are two kinds of carriers (electrons and holes) with almost same carrier concentrations and rather high mobilities in HfB&amp;lt;sub&amp;gt;2&amp;lt;/sub&amp;gt;. Above field-induced phenomena can be well explained by using the two-band model with compensation condition. Even the carrier concentrations is significantly high ( approximately 1.8x10&amp;lt;sup&amp;gt;21&amp;lt;/sup&amp;gt; cm&amp;lt;sup&amp;gt; -3&amp;lt;/sup&amp;gt;) in HfB&amp;lt;sub&amp;gt;2&amp;lt;/sub&amp;gt;, much larger than other known topological semimetals with discrete Dirac nodal points, the electron-type carriers still have relatively small effective masses. In contrast to ZrB&amp;lt;sub&amp;gt;2&amp;lt;/sub&amp;gt;, the slightly increased effective mass in HfB&amp;lt;sub&amp;gt;2&amp;lt;/sub&amp;gt; manifests the effect of enhanced spin-orbit coupling due to the large atomic number of Hf.&amp;#13; &amp;#13; &amp;#13.",3
Two dimensional ferromagnetic semiconductor: monolayer CrGeS<sub>3</sub>.,"Recently, two-dimensional ferromagnetic semiconductors have been an important class of materials for many potential applications in spintronic devices. Based on density functional theory, we systematically explore the magnetic and electronic properties of CrGeS&amp;lt;sub&amp;gt;3&amp;lt;/sub&amp;gt; with the monolayer structures. It is found that the bandgap of spin-up state is 1.01 eV when it is 1.07 eV in spin-down state. The exchange splitting is calculated as 0.67 eV (2.21 eV by HSE06 functional), which originates from bonding dpsigma hybridized states of Cr e&amp;lt;sub&amp;gt;g&amp;lt;/sub&amp;gt;-S p and unoccupied Cr t&amp;lt;sub&amp;gt;2g&amp;lt;/sub&amp;gt;-Ge p hybridization. After that, the comparison of total energy between different magnetic states ensures the ferromagnetic ground state of monolayer CrGeS&amp;lt;sub&amp;gt;3&amp;lt;/sub&amp;gt;. The reason of the magnetic states originates mainly from the competition between antiferromagnetic direct neighboring Cr-Cr exchange and ferromagnetic superexchange mediated by S atom. And the results also show the magnetic moment of 6 mu&amp;lt;sub&amp;gt;B&amp;lt;/sub&amp;gt; per unit cell, including two Cr atoms. Besides, we estimate that the monolayer CrGeS&amp;lt;sub&amp;gt;3&amp;lt;/sub&amp;gt; possesses the Curie temperature of 161 K by mean-eld theory. The results suggest that monolayer CrGeS&amp;lt;sub&amp;gt;3&amp;lt;/sub&amp;gt; crystals will possess potential applications in nanoscale spintronics.",3
Nodeless s-wave superconductivity in the <i>alpha-Mn</i> structure type noncentrosymmetric superconductor TaOs: A muSR study.,"Noncentrosymmetric superconductors can lead to a variety of exotic properties in the superconducting&amp;#13; state such as line nodes, multigap behavior, and time-reversal symmetry breaking. In this&amp;#13; paper, we report the properties of the new noncentrosymmetric superconductor TaOs, using muon&amp;#13; spin relaxation and rotation measurements. It is shown using the zero-field muon experiment that&amp;#13; TaOs preserve the time-reversal symmetry in the superconducting state. From the transverse field&amp;#13; muon measurements, we extract the temperature dependence of lambda(T) which is proportional to the&amp;#13; superfluid density. This data can be fit with a fully gapped s-wave model for alpha = Delta(0)=k&amp;lt;sub&amp;gt;B&amp;lt;/sub&amp;gt;Tc = 2.01&amp;#13; +/- 0.02. Furthermore, the value of magnetic penetration depth is found to be 5919 +/- 45 A, which is&amp;#13; consistent with the value obtained from the bulk measurements.",3
Ir 5<i>d</i>-band Derived Superconductivity in LaIr<sub>3</sub>.,"The superconducting properties of rhombohedral LaIr$_3$ were examined using susceptibility, resistivity, heat capacity, and zero-field (ZF) and transverse-field (TF) muon spin relaxation and rotation ($\mu$SR) measurements. The susceptibility and resistivity measurements confirm a superconducting transition below $T_{\mathrm{C}}=2.5(1)$~K. Two successive transitions are observed in the heat capacity data, one at $T_{\mathrm{C}}=2.5$~K and a second at 1.2~K below $T_{\mathrm{C}}$. The heat capacity jump is $\Delta C/\gamma T_{\mathrm{C}} \sim 1.0$ which is lower than 1.43 expected for Bardeen-Cooper-Schrieffer (BCS) weak-coupling limit. Transverse-field-$\mu$SR measurements reveal a fully gapped $s-$wave superconductivity with $2\Delta(0)/k_{\mathrm{B}}T_{\mathrm{C}}=3.31(8)$, which is small compared to BCS value of 3.56, suggesting weak-coupling superconductivity. The magnetic penetration depth, $\lambda_{\mathrm{L}}(0)$, estimated from TF-$\mu$SR gives $\lambda_{\mathrm{L}}(0)=386(3)$~nm, a superconducting carrier density $n_{\mathrm{s}}=2.9(1)\times10^{27}$ carriers $m^{-3}$ and a carrier effective-mass enhancement factor $m^{*}=1.53(1)m_{\mathrm{e}}$. ZF-$\mu$SR data show no evidence for any spontaneous magnetic fields below $T_{\mathrm{C}}$, which demonstrates that time-reversal symmetry is preserved in the superconducting state of LaIr$_3$.",3
Carrier free long-range magnetism in Mo doped one quintuple layer Bi<sub>2</sub>Te<sub>3</sub> and Sb<sub>2</sub>Te<sub>3</sub>.,"One of the keys to the realization of Quantum Anomalous Hall effect (QAHE) is long range ferromagnetism, which is only experimentally realized in Cr or V doped (Bi,Sb)2Te3 system. Both elements are 3d transition metals and 4d transition metals are found to be ineffective to produce long range ferromagnetism in Bi2Se3. Still, whether long range ferromagnetism can be realized by magnetic doping of 4d elements is an open question. Based on density functional theory calculations, we predict that long range ferromagnetism can be realized in Mo doped Bi2Te3 and Sb2Te3, which are semiconducting. The coupling strength is comparable with that of Cr doped Bi2Te3 and Sb2Te3. Therefore, Mo doped Bi2Te3 and Sb2Te3 or their alloys can be new systems to realize diluted magnetic semiconductors and QAHE.",3
Transport signatures of symmetry protection in 1D Floquet topological insulators.,"Time-periodic external drives have emerged as a powerful tool to artificially create topological phases of matter. Prime examples are Floquet topological insulators (FTIs), where a gapped bulk supports in-gap edge states, protected against symmetry-preserving local perturbations. Similar to an ordinary static topological insulator, the robustness of an edge state in a one-dimensional (1D) FTI shows up as a pinning of its quasienergy level, but now inside one of two distinct bulk gaps. Here we propose a scheme for probing this unique feature by observing transport characteristics of a 1D finite-sized FTI attached to external leads. We present predictions for transmission spectra using a nonequilibrium Green's function approach. Our analysis covers FTIs with time-independent and periodically driven boundary perturbations which either preserve or break the protecting chiral symmetry.",3
Ultrafast spin dynamics in ferrimagnets with compensation point.,"We derive an effective Lagrangian that facilitates the modeling of magnetization dynamics in a ferrimagnet with magnetization compensation point. The model is able to explain the earlier reported magnetization dynamics in the noncollinear magnetic phase triggered by a femtosecond laser pulse in GdFeCo amorphous alloy in the vicinity of spin-flop transition. Moreover, the described approach can be easily extended and applied to other cases of ultrafast magnetism in uniaxial f-d (rare-earth - transition metal) ferrimagnet near the magnetization compensation point in high magnetic fields. &amp;#13; We assume that the primary effect of the femtosecond laser pulse is the ultrafast demagnetization of the ferrimagnet. We show that in the noncollinear magnetic phase, which can be prepared by applying external magnetic field above the spin-flop transition, such a demagnetization results in a torque acting on the magnetizations of both sublattices. It is shown that, similarly to the experiment, the amplitude and timescales of the dynamics strongly depend on temperature and applied magnetic field. In particular, in the vicinity of the spin-flop phase transition the amplitude dramatically increases while the dynamics exhibits a critical slowdown. &amp;#13; We expect that the developed theoretical framework will boost further research of ultrafast magnetism of noncollinear spin systems.",3
Theoretical prediction of stable cluster-assembled CdSe bilayer and its functionalization with Co and Cr adatoms.,"In this article, we present our results on bilayers assembled upon strategic&amp;#13; placement of Cd&amp;lt;sub&amp;gt;6&amp;lt;/sub&amp;gt;Se&amp;lt;sub&amp;gt;6&amp;lt;/sub&amp; gt; clusters. These bilayers are studied for their&amp;#13; stability and electronic structure with the help of density functional theory&amp;#13; and are further analyzed using Bardeen, Tersoff and Hamann formalism for their&amp;#13; tunneling properties. Our calculations show that the hexagonal arrangement of&amp;#13; these clusters prevails as the most stable geometry showing all real phonon&amp;#13; modes. First-principles molecular dynamics studies on this 2D structure show&amp;#13; that it remains intact even at room temperature. This bilayer shows an indirect&amp;#13; semiconducting band gap of 1.28eV with the current-voltage (I-V)&amp;#13; characteristics similar to a tunnel diode. Further, we functionalized this&amp;#13; bilayer using transition metal atoms, Co and Cr. The aim was to seek whether&amp;#13; the bilayer sustains magnetism and how the concentration affects its electronic&amp;#13; and magnetic properties. Co functionalization brings ferromagnetic ordering in&amp;#13; the bilayer which turns near half-metallic upon increasing the concentration.&amp;#13; On the other hand, Cr functionalization shows a transition from antiferro- to&amp;#13; ferromagnetic ordering upon increasing the concentration. The I-V&amp;#13; characteristics of all these functionalized bilayers show negative differential&amp;#13; conductance similar to a tunnel diode.",3
Computational prediction of a +4 oxidation state in Au via compressed AuO<sub>2</sub> compounds.,"Much effort has been devoted to the investigation of the physical and chemical properties of the Au-O system over a range of pressures, owing to the considerable importance of these materials in fundamental and practical applications. To date, however, only Au1+, Au2+, Au3+, and Au5+ oxidation states have been identified in the Au-O system but tetravalent Au4+ has not been found. Here, we report the results of structure prediction for the Au-O system at high pressure via the effective structure prediction methodology within a first-principles electronic structure framework. We have discovered an intriguing structure with AuO2 composition and tetravalent Au, stable at high pressures. This phase shows an electronic transition from a metal to a semiconducting phase as a function of pressure. The present results provide fundamental understanding of the structural and physicochemical properties of compressed Au-O compounds.",3
Self-assembly of core-corona particles confined in a circular box.,"Using Monte Carlo simulations, we study the assembly of colloidal particles interacting via isotropic core-corona potentials in two dimensions and confined in a circular box. We explore the structural variety at low temperatures as function of the number of particles (N) and the size of the confining box and find a rich variety of patterns that are not observed in unconfined flat space. For a small number of particles \left(N\leq6\right), we identify the zero-temperature minimal energy configurations at a given box size. When the number of particles is large (N\geq100), we distinguish different regimes that appear in route towards close packing configurations as the box size decreases. These regimes are characterized by the increase in the number of branching points and their coordination number. Interestingly, we obtain anisotropic open structures with unexpected variety of rotational symmetries that can be controlled by changing the model parameters, and some of the structures have chirality, in spite of the isotropy of the interactions and of the confining box. For arbitrary temperatures, we employ Monte Carlo integration to obtain the average energy and the configurational entropy of the system, which are then used to construct a phase diagram as function of temperature and box radius. Our findings show that confined core-corona particles can be a suitable system to engineer particles with highly complex internal structure that may serve as building blocks in hierarchical assembly.",3
