Structure of the Respiratory Syncytial Virus Polymerase Complex.,"Numerous interventions are in clinical development for respiratory syncytial virus (RSV) infection, including small molecules that target viral transcription and replication. These processes are catalyzed by a complex comprising the RNA-dependent RNA polymerase (L) and the tetrameric phosphoprotein (P). RSV P recruits multiple proteins to the polymerase complex and, with the exception of its oligomerization domain, is thought to be intrinsically disordered. Despite their critical roles in RSV transcription and replication, structures of L and P have remained elusive. Here, we describe the 3.2-A cryo-EM structure of RSV L bound to tetrameric P. The structure reveals a striking tentacular arrangement of P, with each of the four monomers adopting a distinct conformation. The structure also rationalizes inhibitor escape mutants and mutations observed in live-attenuated vaccine candidates. These results provide a framework for determining the molecular underpinnings of RSV replication and transcription and should facilitate the design of effective RSV inhibitors.",biology
"Reconstruction of 1,000 Projection Neurons Reveals New Cell Types and Organization of Long-Range Connectivity in the Mouse Brain.","Neuronal cell types are the nodes of neural circuits that determine the flow of information within the brain. Neuronal morphology, especially the shape of the axonal arbor, provides an essential descriptor of cell type and reveals how individual neurons route their output across the brain. Despite the importance of morphology, few projection neurons in the mouse brain have been reconstructed in their entirety. Here we present a robust and efficient platform for imaging and reconstructing complete neuronal morphologies, including axonal arbors that span substantial portions of the brain. We used this platform to reconstruct more than 1,000 projection neurons in the motor cortex, thalamus, subiculum, and hypothalamus. Together, the reconstructed neurons constitute more than 85 meters of axonal length and are available in a searchable online database. Axonal shapes revealed previously unknown subtypes of projection neurons and suggest organizational principles of long-range connectivity.",biology
An Ancient Harappan Genome Lacks Ancestry from Steppe Pastoralists or Iranian Farmers.,"We report an ancient genome from the Indus Valley Civilization (IVC). The individual we sequenced fits as a mixture of people related to ancient Iranians (the largest component) and Southeast Asian hunter-gatherers, a unique profile that matches ancient DNA from 11 genetic outliers from sites in Iran and Turkmenistan in cultural communication with the IVC. These individuals had little if any Steppe pastoralist-derived ancestry, showing that it was not ubiquitous in northwest South Asia during the IVC as it is today. The Iranian-related ancestry in the IVC derives from a lineage leading to early Iranian farmers, herders, and hunter-gatherers before their ancestors separated, contradicting the hypothesis that the shared ancestry between early Iranians and South Asians reflects a large-scale spread of western Iranian farmers east. Instead, sampled ancient genomes from the Iranian plateau and IVC descend from different groups of hunter-gatherers who began farming without being connected by substantial movement of people.",biology
Proteomics of Melanoma Response to Immunotherapy Reveals Mitochondrial Dependence.,"Immunotherapy has revolutionized cancer treatment, yet most patients do not respond. Here, we investigated mechanisms of response by profiling the proteome of clinical samples from advanced stage melanoma patients undergoing either tumor infiltrating lymphocyte (TIL)-based or anti- programmed death 1 (PD1) immunotherapy. Using high-resolution mass spectrometry, we quantified over 10,300 proteins in total and approximately 4,500 proteins across most samples in each dataset. Statistical analyses revealed higher oxidative phosphorylation and lipid metabolism in responders than in non-responders in both treatments. To elucidate the effects of the metabolic state on the immune response, we examined melanoma cells upon metabolic perturbations or CRISPR-Cas9 knockouts. These experiments indicated lipid metabolism as a regulatory mechanism that increases melanoma immunogenicity by elevating antigen presentation, thereby increasing sensitivity to T cell mediated killing both in vitro and in vivo. Altogether, our proteomic analyses revealed association between the melanoma metabolic state and the response to immunotherapy, which can be the basis for future improvement of therapeutic response.",biology
Migratory Neural Crest Cells Phagocytose Dead Cells in the Developing Nervous System.,"During neural tube closure and spinal cord development, many cells die in both the central and peripheral nervous systems (CNS and PNS, respectively). However, myeloid-derived professional phagocytes have not yet colonized the trunk region during early neurogenesis. How apoptotic cells are removed from this region during these stages remains largely unknown. Using live imaging in zebrafish, we demonstrate that neural crest cells (NCCs) respond rapidly to dying cells and phagocytose cellular debris around the neural tube. Additionally, NCCs have the ability to enter the CNS through motor exit point transition zones and clear debris in the spinal cord. Surprisingly, NCCs phagocytosis mechanistically resembles macrophage phagocytosis and their recruitment toward cellular debris is mediated by interleukin-1beta. Taken together, our results reveal a role for NCCs in phagocytosis of debris in the developing nervous system before the presence of professional phagocytes.",biology
Fate Mapping via Ms4a3-Expression History Traces Monocyte-Derived Cells.,"Most tissue-resident macrophage (RTM) populations are seeded by waves of embryonic hematopoiesis and are self-maintained independently of a bone marrow contribution during adulthood. A proportion of RTMs, however, is constantly replaced by blood monocytes, and their functions compared to embryonic RTMs remain unclear. The kinetics and extent of the contribution of circulating monocytes to RTM replacement during homeostasis, inflammation, and disease are highly debated. Here, we identified Ms4a3 as a specific gene expressed by granulocyte-monocyte progenitors (GMPs) and subsequently generated Ms4a3(TdT) reporter, Ms4a3(Cre), and Ms4a3(CreERT2) fate-mapping models. These models traced efficiently monocytes and granulocytes, but no lymphocytes or tissue dendritic cells. Using these models, we precisely quantified the contribution of monocytes to the RTM pool during homeostasis and inflammation. The unambiguous identification of monocyte-derived cells will permit future studies of their function under any condition.",biology
A Pan-cancer Transcriptome Analysis Reveals Pervasive Regulation through Alternative Promoters.,"Most human protein-coding genes are regulated by multiple, distinct promoters, suggesting that the choice of promoter is as important as its level of transcriptional activity. However, while a global change in transcription is recognized as a defining feature of cancer, the contribution of alternative promoters still remains largely unexplored. Here, we infer active promoters using RNA-seq data from 18,468 cancer and normal samples, demonstrating that alternative promoters are a major contributor to context-specific regulation of transcription. We find that promoters are deregulated across tissues, cancer types, and patients, affecting known cancer genes and novel candidates. For genes with independently regulated promoters, we demonstrate that promoter activity provides a more accurate predictor of patient survival than gene expression. Our study suggests that a dynamic landscape of active promoters shapes the cancer transcriptome, opening new diagnostic avenues and opportunities to further explore the interplay of regulatory mechanisms with transcriptional aberrations in cancer.",biology
The ChAHP Complex Counteracts Chromatin Looping at CTCF Sites that Emerged from SINE Expansions in Mouse.,"CCCTC-binding factor (CTCF) and cohesin are key players in three-dimensional chromatin organization. The topologically associating domains (TADs) demarcated by CTCF are remarkably well conserved between species, although genome-wide CTCF binding has diverged substantially following transposon-mediated motif expansions. Therefore, the CTCF consensus motif poorly predicts TADs, and additional factors must modulate CTCF binding and subsequent TAD formation. Here, we demonstrate that the ChAHP complex (CHD4, ADNP, HP1) competes with CTCF for a common set of binding motifs. In Adnp knockout cells, novel insulated regions are formed at sites normally bound by ChAHP, whereas proximal canonical boundaries are weakened. These data reveal that CTCF-mediated loop formation is modulated by a distinct zinc-finger protein complex. Strikingly, ChAHP-bound loci are mainly situated within less diverged SINE B2 transposable elements. This implicates ChAHP in maintenance of evolutionarily conserved spatial chromatin organization by buffering novel CTCF binding sites that emerged through SINE expansions.",biology
Single Amino Acid Change Underlies Distinct Roles of H2A.Z Subtypes in Human Syndrome.,"The developmental disorder Floating-Harbor syndrome (FHS) is caused by heterozygous truncating mutations in SRCAP, a gene encoding a chromatin remodeler mediating incorporation of histone variant H2A.Z. Here, we demonstrate that FHS-associated mutations result in loss of SRCAP nuclear localization, alter neural crest gene programs in human in vitro models and Xenopus embryos, and cause craniofacial defects. These defects are mediated by one of two H2A.Z subtypes, H2A.Z.2, whose knockdown mimics and whose overexpression rescues the FHS phenotype. Selective rescue by H2A.Z.2 is conferred by one of the three amino acid differences between the H2A.Z subtypes, S38/T38. We further show that H2A.Z.1 and H2A.Z.2 genomic occupancy patterns are qualitatively similar, but quantitatively distinct, and H2A.Z.2 incorporation at AT-rich enhancers and expression of their associated genes are both sensitized to SRCAP truncations. Altogether, our results illuminate the mechanism underlying a human syndrome and uncover selective functions of H2A.Z subtypes during development.",biology
Amyloid-like Assembly Activates a Phosphatase in the Developing Drosophila Embryo.,"Prion-like proteins can assume distinct conformational and physical states in the same cell. Sequence analysis suggests that prion-like proteins are prevalent in various species; however, it remains unclear what functional space they occupy in multicellular organisms. Here, we report the identification of a prion-like protein, Herzog (CG5830), through a multimodal screen in Drosophila melanogaster. Herzog functions as a membrane-associated phosphatase and controls embryonic patterning, likely being involved in TGF-beta/BMP and FGF/EGF signaling pathways. Remarkably, monomeric Herzog is enzymatically inactive and becomes active upon amyloid-like assembly. The prion-like domain of Herzog is necessary for both its assembly and membrane targeting. Removal of the prion-like domain impairs activity, while restoring assembly on the membrane using a heterologous prion-like domain and membrane-targeting motif can restore phosphatase activity. This study provides an example of a prion-like domain that allows an enzyme to gain essential functionality via amyloid-like assembly to control animal development.",biology
